id,source,brand,product_url,title,category,gender,price,sale,description,image_url,second_hand
,scraper-bound,Bound,https://wearebound.com/products/organic-fisherman-ribbed-label-beanie-blue,ORGANIC FISHERMAN RIBBED LABEL BEANIE - BLUE,Beanies,UNISEX,50USD,50USD,,http://wearebound.com/cdn/shop/files/FISHERMAN_BLUE_01.jpg?v=1759849329,False
,scraper-bound,Bound,https://wearebound.com/products/organic-fisherman-ribbed-label-beanie-heather-grey,ORGANIC FISHERMAN RIBBED LABEL BEANIE - HEATHER GREY,Beanies,UNISEX,50USD,50USD,,http://wearebound.com/cdn/shop/files/FISHERMAN_GREY_01.jpg?v=1759849305,False
,scraper-bound,Bound,https://wearebound.com/products/organic-fisherman-ribbed-label-beanie-sand,ORGANIC FISHERMAN RIBBED LABEL BEANIE - SAND,Beanies,UNISEX,50USD,50USD,,http://wearebound.com/cdn/shop/files/FISHERMAN_SAND_01.jpg?v=1759849287,False
,scraper-bound,Bound,https://wearebound.com/products/oversized-recylced-cuffed-label-beanie-black,OVERSIZED RECYCLED CUFFED LABEL BEANIE - BLACK,Beanies,UNISEX,43USD,43USD,,http://wearebound.com/cdn/shop/files/OVERSIVE_BLACK_02.jpg?v=1759846130,False
,scraper-bound,Bound,https://wearebound.com/products/oversized-recylced-cuffed-label-beanie-green,OVERSIZED RECYCLED CUFFED LABEL BEANIE - GREEN,Beanies,UNISEX,43USD,43USD,,http://wearebound.com/cdn/shop/files/OVERSIZE_GREEN_01.jpg?v=1759846149,False
,scraper-bound,Bound,https://wearebound.com/products/oversized-recycled-cuffed-label-beanie-tan,OVERSIZED RECYCLED CUFFED LABEL BEANIE - TAN,Beanies,UNISEX,43USD,43USD,,http://wearebound.com/cdn/shop/files/OVERSIZE_BROWN_01.jpg?v=1759846165,False
,scraper-bound,Bound,https://wearebound.com/products/oversized-recycled-cuffed-label-beanie-french-navy,OVERSIZED RECYCLED CUFFED LABEL BEANIE - FRENCH NAVY,Beanies,UNISEX,43USD,43USD,,http://wearebound.com/cdn/shop/files/OVERSIVE_NAVY_02.jpg?v=1759846184,False
,scraper-bound,Bound,https://wearebound.com/products/oversized-recycled-cuffed-label-beanie-orange,OVERSIZED RECYCLED CUFFED LABEL BEANIE - ORANGE,Beanies,UNISEX,43USD,43USD,,http://wearebound.com/cdn/shop/files/OVERSIZE_ORANGE_01.jpg?v=1759846196,False
,scraper-bound,Bound,https://wearebound.com/products/oversized-recycled-cuffed-label-beanie-stone,OVERSIZED RECYCLED CUFFED LABEL BEANIE - STONE,Beanies,UNISEX,43USD,43USD,,http://wearebound.com/cdn/shop/files/OVERSIZE_SAND_01.jpg?v=1759846219,False
,scraper-bound,Bound,https://wearebound.com/products/cable-knit-half-zip-pullover-rust-red,CABLE KNIT HALF ZIP PULLOVER - RUST RED,Knitwear,UNISEX,148USD,148USD,,http://wearebound.com/cdn/shop/files/107157.jpg?v=1762981040,False
,scraper-bound,Bound,https://wearebound.com/products/moss-knit-sweater,MOSS KNIT SWEATER,Sweaters,UNISEX,127USD,127USD,,http://wearebound.com/cdn/shop/files/106606.jpg?v=1762981036,False
,scraper-bound,Bound,https://wearebound.com/products/rye-green-wool-cardigan,RYE GREEN WOOL CARDIGAN,Cardigans,UNISEX,176USD,176USD,,http://wearebound.com/cdn/shop/files/107360.jpg?v=1762981042,False
,scraper-bound,Bound,https://wearebound.com/products/parker-alpaca-cardigan-navy,PARKER ALPACA CARDIGAN - NAVY,Cardigans,UNISEX,176USD,176USD,,http://wearebound.com/cdn/shop/files/107043.jpg?v=1762981037,False
,scraper-bound,Bound,https://wearebound.com/products/melvin-washed-sweater-brown,MELVIN WASHED SWEATER - BROWN,Sweaters,UNISEX,155USD,155USD,,http://wearebound.com/cdn/shop/files/107474x.jpg?v=1763932112,False
,scraper-bound,Bound,https://wearebound.com/products/open-collar-acid-wash-knit-brown,OPEN COLLAR ACID WASH KNIT - BROWN,Knitwear,UNISEX,138USD,138USD,,http://wearebound.com/cdn/shop/files/107095.jpg?v=1762981040,False
,scraper-bound,Bound,https://wearebound.com/products/earth-marl-knit-sweater-brown,EARTH MARL KNIT SWEATER - BROWN,Sweaters,UNISEX,155USD,155USD,,http://wearebound.com/cdn/shop/files/106774.jpg?v=1762981042,False
,scraper-bound,Bound,https://wearebound.com/products/wool-zip-overshirt-navy,WOOL ZIP OVERSHIRT - NAVY,Overshirts,UNISEX,183USD,183USD,,http://wearebound.com/cdn/shop/files/107018.jpg?v=1762981035,False
,scraper-bound,Bound,https://wearebound.com/products/check-flannel-overshirt-green,CHECK FLANNEL OVERSHIRT - GREEN,Overshirts,UNISEX,134USD,134USD,,http://wearebound.com/cdn/shop/files/106826.jpg?v=1762981041,False
,scraper-bound,Bound,https://wearebound.com/products/stewart-dogtooth-wool-overcoat,STEWART DOGTOOTH WOOL OVERCOAT,Jackets & Coats,UNISEX,275USD,275USD,,http://wearebound.com/cdn/shop/files/107327_1a6c7c07-7a0e-49ed-9232-f534bc747285.jpg?v=1764262767,False
,scraper-bound,Bound,https://wearebound.com/products/check-cotton-puffer-navy,CHECK COTTON PUFFER - NAVY,Jackets & Coats,UNISEX,155USD,155USD,,http://wearebound.com/cdn/shop/files/106709.jpg?v=1763026283,False
,scraper-bound,Bound,https://wearebound.com/products/check-wool-quilted-coach-jacket,CHECK WOOL QUILTED COACH JACKET,Jackets & Coats,UNISEX,155USD,155USD,,http://wearebound.com/cdn/shop/files/107166.jpg?v=1762981041,False
,scraper-bound,Bound,https://wearebound.com/products/pocket-fleece-cardigan-brown,POCKET FLEECE CARDIGAN - BROWN,Cardigans,UNISEX,92USD,92USD,,http://wearebound.com/cdn/shop/files/106573.jpg?v=1762981035,False
